id;paisagem;coleta;amostra;pH;EC;OD;TDS;Temp;ColF;ColT;Sol;Turb;PT;Nit;Nitra;fma;ca;sil;NumP;MPS;ED;TE;MPE;MSI
60F30CB14;5;2;2;7.57;19;7.76;10;17.8;0;160;0.6;0.82;0;0;0.0418;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;2;3;7.57;19;7.76;10;17.8;0;160;0.45;0.73;0;0;0.0402;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;3;1;8.86;18;6.08;9;20.7;0;560;0.4;2.81;0;0;0.0786;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;3;2;8.86;18;6.08;9;20.7;0;560;0.2;2.8;0;0;0.109;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;3;3;8.86;18;6.08;9;20.7;0;560;0.3;2.45;0;0;0.0514;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;4;1;8.86;21;5.95;11;20.2;80;880;0.4;0.98;0;0.0017;0.0258;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;4;2;8.86;21;5.95;11;20.2;80;880;0;1.14;0;0;0.029;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;4;3;8.86;21;5.95;11;20.2;80;880;0.2;1.17;0;0.0017;0;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;5;1;7;19;6.54;10;17.5;80;880;0.2;0.93;0;0;0.0786;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;5;2;7;19;6.54;10;17.5;80;880;0.1;0.86;0;0;0.069;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;5;3;7;19;6.54;10;17.5;80;880;0.15;0.89;0;0;0.0866;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB18;6;1;1;7.1;32;8.11;16;16.6;0;960;0.8;1.84;0;0;0;70.6;30;0.01;9;21.066;1.565;23325.486;2591.721;2.301
60F30CB18;6;1;2;7.1;32;8.11;16;16.6;0;960;0.3;1.34;0;0;0;70.6;30;0.01;9;21.066;1.565;23325.486;2591.721;2.301
60F30CB18;6;1;3;7.1;32;8.11;16;16.6;0;960;0.55;1.38;0;0;0.024;70.6;30;0.01;9;21.066;1.565;23325.486;2591.721;2.301
60F30CB18;6;2;1;7.26;29;7.28;15;20.4;0;0;1.1;2.19;0;0;0.032;70.6;30;0.01;9;21.066;1.565;23325.486;2591.721;2.301
60F30CB18;6;2;2;7.26;29;7.28;15;20.4;0;0;0.8;2.41;0;0;0.035;70.6;30;0.01;9;21.066;1.565;23325.486;2591.721;2.301
60F30CB18;6;2;3;7.26;29;7.28;15;20.4;0;0;0.95;2.24;0;0;0.031;70.6;30;0.01;9;21.066;1.565;23325.486;2591.721;2.301
60F30CB18;6;3;1;7.15;28;5.7;14;23.8;560;2240;0;2.29;0;0;0.034;70.6;30;0.01;9;21.066;1.565;23325.486;2591.721;2.301
60F30CB18;6;3;2;7.15;28;5.7;14;23.8;560;2240;0;2.2;0;0;0.042;70.6;30;0.01;9;21.066;1.565;23325.486;2591.721;2.301
60F30CB18;6;3;3;7.15;28;5.7;14;23.8;560;2240;0;2.39;0;0;0.04;70.6;30;0.01;9;21.066;1.565;23325.486;2591.721;2.301
60F30CB18;6;4;1;7.15;28;6.23;14;22.2;80;640;0.9;1.7;0;0.002;0.024;70.6;30;0.01;9;21.066;1.565;23325.486;2591.721;2.301
